Strain	Carbon_source	BdStrain	Spearman_rho	p_value	Significant	N	comparison
322	Panama13O	Citrate	Jel197	0.4	0.252072	FALSE	10	Temp550
323	Panama13O	Citrate	Jel423	0.4	0.252072	FALSE	10	Temp550
324	Panama13O	Dextrose	Jel197	0.5	0.14111328125	FALSE	10	Temp550
325	Panama13O	Dextrose	Jel423	0.5	0.14111328125	FALSE	10	Temp550
326	Panama13O	Fructose	Jel197	0.7	0.02420634375	TRUE	10	Temp550
327	Panama13O	Fructose	Jel423	0.7	0.02420634375	TRUE	10	Temp550
328	Panama13O	Galactose	Jel197	0.0512989176042577	0.888078458028884	FALSE	10	Temp550
329	Panama13O	Galactose	Jel423	0.0512989176042577	0.888078458028884	FALSE	10	Temp550
330	Panama13O	Heart infusion	Jel197	-0.1	0.78342440625	FALSE	10	Temp550
331	Panama13O	Heart infusion	Jel423	-0.1	0.78342440625	FALSE	10	Temp550
332	Panama13O	LB	Jel197	-0.2	0.579584	FALSE	10	Temp550
333	Panama13O	LB	Jel423	-0.2	0.579584	FALSE	10	Temp550
334	Panama13O	Lactose	Jel197	0.410391340834062	0.238799601325174	FALSE	10	Temp550
335	Panama13O	Lactose	Jel423	0.410391340834062	0.238799601325174	FALSE	10	Temp550
336	Panama13O	Malt extract	Jel197	0.410391340834062	0.238799601325174	FALSE	10	Temp550
337	Panama13O	Malt extract	Jel423	0.410391340834062	0.238799601325174	FALSE	10	Temp550
338	Panama13O	Mannitol	Jel197	0	1	FALSE	10	Temp550
339	Panama13O	Mannitol	Jel423	0	1	FALSE	10	Temp550
340	Panama13O	Mannose	Jel197	-0.820782681668123	0.00361332270607	TRUE	10	Temp550
341	Panama13O	Mannose	Jel423	-0.820782681668123	0.00361332270607	TRUE	10	Temp550
342	Panama13O	N-acetyl glucosamine	Jel197	-0.5	0.14111328125	FALSE	10	Temp550
343	Panama13O	N-acetyl glucosamine	Jel423	-0.5	0.14111328125	FALSE	10	Temp550
344	Panama13O	Peptone	Jel197	0.3	0.39969146875	FALSE	10	Temp550
345	Panama13O	Peptone	Jel423	0.3	0.39969146875	FALSE	10	Temp550
346	Panama13O	Pyruvate	Jel197	-0.820782681668123	0.00361332270607	TRUE	10	Temp550
347	Panama13O	Pyruvate	Jel423	-0.820782681668123	0.00361332270607	TRUE	10	Temp550
348	Panama13O	R2A	Jel197	0.3	0.39969146875	FALSE	10	Temp550
349	Panama13O	R2A	Jel423	0.3	0.39969146875	FALSE	10	Temp550
350	Panama13O	Succinate	Jel197	0.2	0.579584	FALSE	10	Temp550
351	Panama13O	Succinate	Jel423	0.2	0.579584	FALSE	10	Temp550
352	Panama13O	Tryptone	Jel197	0.820782681668123	0.00361332270606999	TRUE	10	Temp550
353	Panama13O	Tryptone	Jel423	0.820782681668123	0.00361332270606999	TRUE	10	Temp550
354	Panama13O	Xylose	Jel197	0.205195670417031	0.569561395178136	FALSE	10	Temp550
355	Panama13O	Xylose	Jel423	0.205195670417031	0.569561395178136	FALSE	10	Temp550
356	Panama13O	Yeast extract	Jel197	0.3	0.39969146875	FALSE	10	Temp550
357	Panama13O	Yeast extract	Jel423	0.3	0.39969146875	FALSE	10	Temp550
358	Panama68B	Acetate	Jel197	0.1	0.78342440625	FALSE	10	Temp550
359	Panama68B	Acetate	Jel423	0.1	0.78342440625	FALSE	10	Temp550
360	Panama68B	Arabinose	Jel197	-0.6	0.0666879999999999	FALSE	10	Temp550
361	Panama68B	Arabinose	Jel423	-0.6	0.0666879999999999	FALSE	10	Temp550
362	Panama68B	Citrate	Jel197	0.3	0.39969146875	FALSE	10	Temp550
363	Panama68B	Citrate	Jel423	0.3	0.39969146875	FALSE	10	Temp550
364	Panama68B	Dextrose	Jel197	-0.66688592885535	0.0351830262577784	TRUE	10	Temp550
365	Panama68B	Dextrose	Jel423	-0.66688592885535	0.0351830262577784	TRUE	10	Temp550
366	Panama68B	Fructose	Jel197	0.0512989176042577	0.888078458028884	FALSE	10	Temp550
367	Panama68B	Fructose	Jel423	-0.460178993308422	0.18080997190645	FALSE	10	Temp550
368	Panama68B	Galactose	Jel197	0.223606797749979	0.534592148261245	FALSE	10	Temp550
369	Panama68B	Galactose	Jel423	0.223606797749979	0.534592148261245	FALSE	10	Temp550
370	Panama68B	Heart infusion	Jel197	0.2	0.579584	FALSE	10	Temp550
371	Panama68B	Heart infusion	Jel423	0.2	0.579584	FALSE	10	Temp550
372	Panama68B	LB	Jel197	-0.66688592885535	0.0351830262577784	TRUE	10	Temp550
373	Panama68B	LB	Jel423	-0.66688592885535	0.0351830262577784	TRUE	10	Temp550
374	Panama68B	Lactose	Jel197	-0.6	0.0666879999999999	FALSE	10	Temp550
375	Panama68B	Lactose	Jel423	-0.6	0.0666879999999999	FALSE	10	Temp550
376	Panama68B	Malt extract	Jel197	0.9	0.000387156250000001	TRUE	10	Temp550
377	Panama68B	Malt extract	Jel423	0.9	0.000387156250000001	TRUE	10	Temp550
378	Panama68B	Mannitol	Jel197	0.225017580185205	0.531948855008882	FALSE	10	Temp550
379	Panama68B	Mannitol	Jel423	0.225017580185205	0.531948855008882	FALSE	10	Temp550
380	Panama68B	Mannose	Jel197	-0.153896752812773	0.671211457069448	FALSE	10	Temp550
381	Panama68B	Mannose	Jel423	-0.153896752812773	0.671211457069448	FALSE	10	Temp550
382	Panama68B	N-acetyl glucosamine	Jel197	0.359092423229804	0.308179322169245	FALSE	10	Temp550
383	Panama68B	N-acetyl glucosamine	Jel423	0.359092423229804	0.308179322169245	FALSE	10	Temp550
384	Panama68B	Peptone	Jel197	0.2	0.579584	FALSE	10	Temp550
385	Panama68B	Peptone	Jel423	0.2	0.579584	FALSE	10	Temp550
386	Panama68B	Pyruvate	Jel197	-0.66688592885535	0.0351830262577784	TRUE	10	Temp550
387	Panama68B	Pyruvate	Jel423	-0.66688592885535	0.0351830262577784	TRUE	10	Temp550
388	Panama68B	R2A	Jel197	-0.5	0.14111328125	FALSE	10	Temp550
389	Panama68B	R2A	Jel423	-0.5	0.14111328125	FALSE	10	Temp550
390	Panama68B	Succinate	Jel197	0.316227766016838	0.373374917402259	FALSE	10	Temp550
391	Panama68B	Succinate	Jel423	0.316227766016838	0.373374917402259	FALSE	10	Temp550
392	Panama68B	Tryptone	Jel197	0.5	0.14111328125	FALSE	10	Temp550
393	Panama68B	Tryptone	Jel423	0.5	0.14111328125	FALSE	10	Temp550
394	Panama68B	Xylose	Jel197	0.0263157894736842	0.942474059469608	FALSE	10	Temp550
395	Panama68B	Xylose	Jel423	0.0263157894736842	0.942474059469608	FALSE	10	Temp550
396	Panama68B	Yeast extract	Jel197	0.9	0.000387156250000001	TRUE	10	Temp550
397	Panama68B	Yeast extract	Jel423	0.9	0.000387156250000001	TRUE	10	Temp550
398	RSM3.2	Acetate	Jel197	0.1	0.78342440625	FALSE	10	Temp550
399	RSM3.2	Acetate	Jel423	0.1	0.78342440625	FALSE	10	Temp550
400	RSM3.2	Arabinose	Jel197	0.7	0.02420634375	TRUE	10	Temp550
401	RSM3.2	Arabinose	Jel423	0.7	0.02420634375	TRUE	10	Temp550
402	RSM3.2	Citrate	Jel197	-0.8	0.00545600000000004	TRUE	10	Temp550
403	RSM3.2	Citrate	Jel423	-0.8	0.00545600000000004	TRUE	10	Temp550
404	RSM3.2	Dextrose	Jel197	-0.3	0.39969146875	FALSE	10	Temp550
405	RSM3.2	Dextrose	Jel423	-0.3	0.39969146875	FALSE	10	Temp550
406	RSM3.2	Fructose	Jel197	-0.3	0.39969146875	FALSE	10	Temp550
407	RSM3.2	Fructose	Jel423	-0.3	0.39969146875	FALSE	10	Temp550
408	RSM3.2	Galactose	Jel197	-0.3	0.39969146875	FALSE	10	Temp550
409	RSM3.2	Galactose	Jel423	-0.3	0.39969146875	FALSE	10	Temp550
410	RSM3.2	Heart infusion	Jel197	0.2	0.579584	FALSE	10	Temp550
411	RSM3.2	Heart infusion	Jel423	0.2	0.579584	FALSE	10	Temp550
412	RSM3.2	LB	Jel197	0.1	0.78342440625	FALSE	10	Temp550
413	RSM3.2	LB	Jel423	0.1	0.78342440625	FALSE	10	Temp550
414	RSM3.2	Lactose	Jel197	-0.0512989176042577	0.888078458028884	FALSE	10	Temp550
415	RSM3.2	Lactose	Jel423	-0.0512989176042577	0.888078458028884	FALSE	10	Temp550
416	RSM3.2	Malt extract	Jel197	0.6	0.066688	FALSE	10	Temp550
417	RSM3.2	Malt extract	Jel423	0.6	0.066688	FALSE	10	Temp550
418	RSM3.2	Mannitol	Jel197	-0.2	0.579584	FALSE	10	Temp550
419	RSM3.2	Mannitol	Jel423	-0.2	0.579584	FALSE	10	Temp550
420	RSM3.2	Mannose	Jel197	-0.5	0.14111328125	FALSE	10	Temp550
421	RSM3.2	Mannose	Jel423	-0.5	0.14111328125	FALSE	10	Temp550
422	RSM3.2	N-acetyl glucosamine	Jel197	0.2	0.579584	FALSE	10	Temp550
423	RSM3.2	N-acetyl glucosamine	Jel423	0.2	0.579584	FALSE	10	Temp550
424	RSM3.2	Peptone	Jel197	-0.1	0.78342440625	FALSE	10	Temp550
425	RSM3.2	Peptone	Jel423	-0.1	0.78342440625	FALSE	10	Temp550
426	RSM3.2	Pyruvate	Jel197	0.205195670417031	0.569561395178136	FALSE	10	Temp550
427	RSM3.2	Pyruvate	Jel423	0.205195670417031	0.569561395178136	FALSE	10	Temp550
428	RSM3.2	R2A	Jel197	-0.5	0.14111328125	FALSE	10	Temp550
429	RSM3.2	R2A	Jel423	-0.5	0.14111328125	FALSE	10	Temp550
430	RSM3.2	Succinate	Jel197	-0.8	0.00545600000000004	TRUE	10	Temp550
431	RSM3.2	Succinate	Jel423	-0.8	0.00545600000000004	TRUE	10	Temp550
432	RSM3.2	Tryptone	Jel197	0.4	0.252072	FALSE	10	Temp550
433	RSM3.2	Tryptone	Jel423	0.4	0.252072	FALSE	10	Temp550
434	RSM3.2	Xylose	Jel197	-0.5	0.14111328125	FALSE	10	Temp550
435	RSM3.2	Xylose	Jel423	-0.5	0.14111328125	FALSE	10	Temp550
436	RSM3.2	Yeast extract	Jel197	0.2	0.579584	FALSE	10	Temp550
437	RSM3.2	Yeast extract	Jel423	0.2	0.579584	FALSE	10	Temp550
438	THA3.2	Acetate	Jel197	-0.447213595499958	0.195015528100075	FALSE	10	Temp550
439	THA3.2	Acetate	Jel423	-0.447213595499958	0.195015528100075	FALSE	10	Temp550
440	THA3.2	Arabinose	Jel197	-0.410391340834062	0.238799601325174	FALSE	10	Temp550
441	THA3.2	Arabinose	Jel423	-0.410391340834062	0.238799601325174	FALSE	10	Temp550
442	THA3.2	Citrate	Jel197	-0.1	0.78342440625	FALSE	10	Temp550
443	THA3.2	Citrate	Jel423	-0.1	0.78342440625	FALSE	10	Temp550
444	THA3.2	Dextrose	Jel197	-0.66688592885535	0.0351830262577784	TRUE	10	Temp550
445	THA3.2	Dextrose	Jel423	-0.66688592885535	0.0351830262577784	TRUE	10	Temp550
446	THA3.2	Fructose	Jel197	0	1	FALSE	10	Temp550
447	THA3.2	Fructose	Jel423	0	1	FALSE	10	Temp550
448	THA3.2	Galactose	Jel197	-0.3	0.39969146875	FALSE	10	Temp550
449	THA3.2	Galactose	Jel423	-0.3	0.39969146875	FALSE	10	Temp550
450	THA3.2	Heart infusion	Jel197	-0.263523138347365	0.461934452173046	FALSE	10	Temp550
451	THA3.2	Heart infusion	Jel423	-0.263523138347365	0.461934452173046	FALSE	10	Temp550
452	THA3.2	LB	Jel197	0.0512989176042577	0.888078458028884	FALSE	10	Temp550
453	THA3.2	LB	Jel423	0.0516397779494322	0.887338736108408	FALSE	10	Temp550
454	THA3.2	Lactose	Jel197	-0.153896752812773	0.671211457069448	FALSE	10	Temp550
455	THA3.2	Lactose	Jel423	-0.153896752812773	0.671211457069448	FALSE	10	Temp550
456	THA3.2	Malt extract	Jel197	0.205195670417031	0.569561395178136	FALSE	10	Temp550
457	THA3.2	Malt extract	Jel423	0.205195670417031	0.569561395178136	FALSE	10	Temp550
458	THA3.2	Mannitol	Jel197	-0.0512989176042577	0.888078458028884	FALSE	10	Temp550
459	THA3.2	Mannitol	Jel423	-0.0512989176042577	0.888078458028884	FALSE	10	Temp550
460	THA3.2	Mannose	Jel197	-0.0512989176042577	0.888078458028884	FALSE	10	Temp550
461	THA3.2	Mannose	Jel423	-0.0512989176042577	0.888078458028884	FALSE	10	Temp550
462	THA3.2	N-acetyl glucosamine	Jel197	-0.1	0.674871232626211	FALSE	20	Temp550
463	THA3.2	Peptone	Jel197	0.1	0.78342440625	FALSE	10	Temp550
464	THA3.2	Peptone	Jel423	0.1	0.78342440625	FALSE	10	Temp550
465	THA3.2	Pyruvate	Jel197	0.0512989176042577	0.829935286253212	FALSE	20	Temp550
466	THA3.2	R2A	Jel197	-0.9	0.000387156250000001	TRUE	10	Temp550
467	THA3.2	R2A	Jel423	-0.9	0.000387156250000001	TRUE	10	Temp550
468	THA3.2	Succinate	Jel197	-0.66688592885535	0.0351830262577784	TRUE	10	Temp550
469	THA3.2	Succinate	Jel423	-0.66688592885535	0.0351830262577784	TRUE	10	Temp550
470	THA3.2	Tryptone	Jel197	-0.7	0.02420634375	TRUE	10	Temp550
471	THA3.2	Tryptone	Jel423	-0.7	0.02420634375	TRUE	10	Temp550
472	THA3.2	Xylose	Jel197	0.66688592885535	0.00132024370757669	TRUE	20	Temp550
473	THA3.2	Yeast extract	Jel197	0.205195670417031	0.569561395178136	FALSE	10	Temp550
474	THA3.2	Yeast extract	Jel423	0.205195670417031	0.569561395178136	FALSE	10	Temp550
475	HP1C	Acetate	Jel197	-0.4	0.75	FALSE	4	OD600-Inhib
476	HP1C	Acetate	Jel423	-0.4	0.75	FALSE	4	OD600-Inhib
477	HP1C	Arabinose	Jel197	-0.1	0.95	FALSE	5	OD600-Inhib
478	HP1C	Arabinose	Jel423	-0.1	0.95	FALSE	5	OD600-Inhib
479	HP1C	Citrate	Jel197	-0.2	0.916666666666667	FALSE	4	OD600-Inhib
480	HP1C	Citrate	Jel423	-0.2	0.916666666666667	FALSE	4	OD600-Inhib
481	HP1C	Dextrose	Jel197	-0.6	0.35	FALSE	5	OD600-Inhib
482	HP1C	Dextrose	Jel423	0	1	FALSE	5	OD600-Inhib
483	HP1C	Fructose	Jel197	-0.2	0.783333333333333	FALSE	5	OD600-Inhib
484	HP1C	Fructose	Jel423	-0.2	0.783333333333333	FALSE	5	OD600-Inhib
485	HP1C	Galactose	Jel197	-0.4	0.75	FALSE	4	OD600-Inhib
486	HP1C	Galactose	Jel423	0.8	0.333333333333333	FALSE	4	OD600-Inhib
487	HP1C	Heart infusion	Jel197	-0.4	0.75	FALSE	4	OD600-Inhib
488	HP1C	Heart infusion	Jel423	-0.4	0.75	FALSE	4	OD600-Inhib
489	HP1C	LB	Jel197	0.6	0.416666666666667	FALSE	4	OD600-Inhib
490	HP1C	LB	Jel423	0.6	0.416666666666667	FALSE	4	OD600-Inhib
491	HP1C	Lactose	Jel197	-0.2	0.783333333333333	FALSE	5	OD600-Inhib
492	HP1C	Lactose	Jel423	-0.2	0.783333333333333	FALSE	5	OD600-Inhib
493	HP1C	Malt extract	Jel197	0	1	FALSE	4	OD600-Inhib
494	HP1C	Malt extract	Jel423	0.2	0.916666666666667	FALSE	4	OD600-Inhib
495	HP1C	Mannitol	Jel197	0.8	0.333333333333333	FALSE	4	OD600-Inhib
496	HP1C	Mannitol	Jel423	0.8	0.333333333333333	FALSE	4	OD600-Inhib
497	HP1C	Mannose	Jel197	-0.2	0.783333333333333	FALSE	5	OD600-Inhib
498	HP1C	Mannose	Jel423	-0.2	0.783333333333333	FALSE	5	OD600-Inhib
499	HP1C	N-acetyl glucosamine	Jel197	0.6	0.35	FALSE	5	OD600-Inhib
500	HP1C	N-acetyl glucosamine	Jel423	0.6	0.35	FALSE	5	OD600-Inhib
501	HP1C	Peptone	Jel197	-0.2	0.916666666666667	FALSE	4	OD600-Inhib
502	HP1C	Peptone	Jel423	-0.2	0.916666666666667	FALSE	4	OD600-Inhib
503	HP1C	Pyruvate	Jel197	0.4	0.75	FALSE	4	OD600-Inhib
504	HP1C	Pyruvate	Jel423	0.4	0.75	FALSE	4	OD600-Inhib
505	HP1C	R2A	Jel197	0.8	0.333333333333333	FALSE	4	OD600-Inhib
506	HP1C	R2A	Jel423	0.8	0.333333333333333	FALSE	4	OD600-Inhib
507	HP1C	Succinate	Jel197	0.8	0.333333333333333	FALSE	4	OD600-Inhib
508	HP1C	Succinate	Jel423	0.8	0.333333333333333	FALSE	4	OD600-Inhib
509	HP1C	Tryptone	Jel197	-0.4	0.75	FALSE	4	OD600-Inhib
510	HP1C	Tryptone	Jel423	-0.4	0.75	FALSE	4	OD600-Inhib
511	HP1C	Xylose	Jel197	-0.2	0.783333333333333	FALSE	5	OD600-Inhib
512	HP1C	Xylose	Jel423	0.7	0.233333333333333	FALSE	5	OD600-Inhib
513	HP1C	Yeast extract	Jel197	-0.3	0.683333333333333	FALSE	5	OD600-Inhib
514	HP1C	Yeast extract	Jel423	-0.7	0.233333333333333	FALSE	5	OD600-Inhib
515	P060114-29-3-1	Acetate	Jel197	0.1	0.95	FALSE	5	OD600-Inhib
516	P060114-29-3-1	Acetate	Jel423	0.205195670417031	0.740581941591072	FALSE	5	OD600-Inhib
517	P060114-29-3-1	Arabinose	Jel197	0.1	0.95	FALSE	5	OD600-Inhib
518	P060114-29-3-1	Arabinose	Jel423	0.205195670417031	0.740581941591072	FALSE	5	OD600-Inhib
519	P060114-29-3-1	Citrate	Jel197	-0.2	0.783333333333333	FALSE	5	OD600-Inhib
520	P060114-29-3-1	Citrate	Jel423	0.8	0.133333333333333	FALSE	5	OD600-Inhib
521	P060114-29-3-1	Dextrose	Jel197	-0.4	0.516666666666667	FALSE	5	OD600-Inhib
522	P060114-29-3-1	Dextrose	Jel423	-0.3	0.683333333333333	FALSE	5	OD600-Inhib
523	P060114-29-3-1	Fructose	Jel197	0.4	0.516666666666667	FALSE	5	OD600-Inhib
524	P060114-29-3-1	Fructose	Jel423	0.3	0.683333333333333	FALSE	5	OD600-Inhib
525	P060114-29-3-1	Galactose	Jel197	0.2	0.783333333333333	FALSE	5	OD600-Inhib
526	P060114-29-3-1	Galactose	Jel423	0.2	0.783333333333333	FALSE	5	OD600-Inhib
527	P060114-29-3-1	Heart infusion	Jel197	-0.6	0.35	FALSE	5	OD600-Inhib
528	P060114-29-3-1	Heart infusion	Jel423	-0.6	0.35	FALSE	5	OD600-Inhib
529	P060114-29-3-1	LB	Jel197	0.9	0.0833333333333333	FALSE	5	OD600-Inhib
530	P060114-29-3-1	LB	Jel423	0.9	0.0833333333333333	FALSE	5	OD600-Inhib
531	P060114-29-3-1	Lactose	Jel197	-0.564288093646835	0.3217233358243	FALSE	5	OD600-Inhib
532	P060114-29-3-1	Lactose	Jel423	-0.7	0.233333333333333	FALSE	5	OD600-Inhib
533	P060114-29-3-1	Malt extract	Jel197	-0.1	0.95	FALSE	5	OD600-Inhib
534	P060114-29-3-1	Malt extract	Jel423	-0.1	0.95	FALSE	5	OD600-Inhib
535	P060114-29-3-1	Mannitol	Jel197	0.2	0.783333333333333	FALSE	5	OD600-Inhib
536	P060114-29-3-1	Mannitol	Jel423	0.2	0.783333333333333	FALSE	5	OD600-Inhib
537	P060114-29-3-1	Mannose	Jel197	-0.4	0.516666666666667	FALSE	5	OD600-Inhib
538	P060114-29-3-1	Mannose	Jel423	-0.872081599272381	0.053854217727542	FALSE	5	OD600-Inhib
539	P060114-29-3-1	N-acetyl glucosamine	Jel197	-0.5	0.45	FALSE	5	OD600-Inhib
540	P060114-29-3-1	N-acetyl glucosamine	Jel423	-0.6	0.35	FALSE	5	OD600-Inhib
541	P060114-29-3-1	Peptone	Jel197	0.1	0.95	FALSE	5	OD600-Inhib
542	P060114-29-3-1	Peptone	Jel423	0.1	0.95	FALSE	5	OD600-Inhib
543	P060114-29-3-1	Pyruvate	Jel197	0.2	0.783333333333333	FALSE	5	OD600-Inhib
544	P060114-29-3-1	Pyruvate	Jel423	0.2	0.783333333333333	FALSE	5	OD600-Inhib
545	P060114-29-3-1	R2A	Jel197	0.8	0.133333333333333	FALSE	5	OD600-Inhib
546	P060114-29-3-1	R2A	Jel423	0.8	0.133333333333333	FALSE	5	OD600-Inhib
547	P060114-29-3-1	Succinate	Jel197	0.5	0.45	FALSE	5	OD600-Inhib
548	P060114-29-3-1	Succinate	Jel423	0.5	0.45	FALSE	5	OD600-Inhib
549	P060114-29-3-1	Tryptone	Jel197	-0.6	0.35	FALSE	5	OD600-Inhib
550	P060114-29-3-1	Tryptone	Jel423	-0.6	0.35	FALSE	5	OD600-Inhib
551	P060114-29-3-1	Xylose	Jel197	-0.6	0.35	FALSE	5	OD600-Inhib
552	P060114-29-3-1	Xylose	Jel423	-0.6	0.35	FALSE	5	OD600-Inhib
553	P060114-29-3-1	Yeast extract	Jel197	-0.7	0.233333333333333	FALSE	5	OD600-Inhib
554	P060114-29-3-1	Yeast extract	Jel423	-0.6	0.35	FALSE	5	OD600-Inhib
555	Panama13O	Acetate	Jel197	-0.196946385566932	0.585505074276392	FALSE	10	OD600-Inhib
556	Panama13O	Acetate	Jel423	-0.234585779204278	0.514162659776337	FALSE	10	OD600-Inhib
557	Panama13O	Arabinose	Jel197	-0.196946385566932	0.585505074276392	FALSE	10	OD600-Inhib
558	Panama13O	Arabinose	Jel423	-0.172852679413678	0.632981024402238	FALSE	10	OD600-Inhib
559	Panama13O	Citrate	Jel197	-0.196946385566932	0.585505074276392	FALSE	10	OD600-Inhib
560	Panama13O	Citrate	Jel423	-0.185199299371798	0.608488154819226	FALSE	10	OD600-Inhib
561	Panama13O	Dextrose	Jel197	-0.196946385566932	0.585505074276392	FALSE	10	OD600-Inhib
562	Panama13O	Dextrose	Jel423	-0.173382091616324	0.631923968447363	FALSE	10	OD600-Inhib
563	Panama13O	Fructose	Jel197	0.295419578350399	0.407276101901824	FALSE	10	OD600-Inhib
564	Panama13O	Fructose	Jel423	-0.196946385566932	0.585505074276392	FALSE	10	OD600-Inhib
565	Panama13O	Galactose	Jel197	0.0492365963917331	0.892555668988562	FALSE	10	OD600-Inhib
566	Panama13O	Galactose	Jel423	0.0492365963917331	0.892555668988562	FALSE	10	OD600-Inhib
567	Panama13O	Heart infusion	Jel197	0.886258735051196	0.000636951815942936	TRUE	10	OD600-Inhib
568	Panama13O	Heart infusion	Jel423	0.886258735051196	0.000636951815942936	TRUE	10	OD600-Inhib
569	Panama13O	LB	Jel197	0.886258735051196	0.000636951815942936	TRUE	10	OD600-Inhib
570	Panama13O	LB	Jel423	0.886258735051196	0.000636951815942936	TRUE	10	OD600-Inhib
571	Panama13O	Lactose	Jel197	-0.0984731927834662	0.786666590981501	FALSE	10	OD600-Inhib
572	Panama13O	Lactose	Jel423	-0.0984731927834662	0.786666590981501	FALSE	10	OD600-Inhib
573	Panama13O	Malt extract	Jel197	0.295419578350399	0.407276101901824	FALSE	10	OD600-Inhib
574	Panama13O	Malt extract	Jel423	0.320037876546265	0.367323438077517	FALSE	10	OD600-Inhib
575	Panama13O	Mannitol	Jel197	0.886258735051196	0.000636951815942936	TRUE	10	OD600-Inhib
576	Panama13O	Mannitol	Jel423	0.492365963917331	0.148266104168823	FALSE	10	OD600-Inhib
577	Panama13O	Mannose	Jel197	0.886258735051196	0.000636951815942936	TRUE	10	OD600-Inhib
578	Panama13O	Mannose	Jel423	0.443129367525598	0.199621194607143	FALSE	10	OD600-Inhib
579	Panama13O	N-acetyl glucosamine	Jel197	-0.393892771133865	0.260059263934288	FALSE	10	OD600-Inhib
580	Panama13O	N-acetyl glucosamine	Jel423	0.590839156700797	0.072077391733668	FALSE	10	OD600-Inhib
581	Panama13O	Peptone	Jel197	0.78778554226773	0.00680728262378728	TRUE	10	OD600-Inhib
582	Panama13O	Peptone	Jel423	0.78778554226773	0.00680728262378728	TRUE	10	OD600-Inhib
583	Panama13O	Pyruvate	Jel197	-0.333358738869237	0.346554476378219	FALSE	10	OD600-Inhib
584	Panama13O	Pyruvate	Jel423	-0.344656174742132	0.329420463499337	FALSE	10	OD600-Inhib
585	Panama13O	R2A	Jel197	0.738548945875997	0.0147016293537315	TRUE	10	OD600-Inhib
586	Panama13O	R2A	Jel423	0.541602560309064	0.105879566424054	FALSE	10	OD600-Inhib
587	Panama13O	Succinate	Jel197	0.393892771133865	0.260059263934288	FALSE	10	OD600-Inhib
588	Panama13O	Succinate	Jel423	0.393892771133865	0.260059263934288	FALSE	10	OD600-Inhib
589	Panama13O	Tryptone	Jel197	0.353609774197905	0.31615927660174	FALSE	10	OD600-Inhib
590	Panama13O	Tryptone	Jel423	0.353609774197905	0.31615927660174	FALSE	10	OD600-Inhib
591	Panama13O	Xylose	Jel197	-0.0984731927834662	0.786666590981501	FALSE	10	OD600-Inhib
592	Panama13O	Xylose	Jel423	0.393892771133865	0.260059263934288	FALSE	10	OD600-Inhib
593	Panama13O	Yeast extract	Jel197	0.320037876546265	0.367323438077517	FALSE	10	OD600-Inhib
594	Panama13O	Yeast extract	Jel423	0.320037876546265	0.367323438077517	FALSE	10	OD600-Inhib
595	Panama68B	Acetate	Jel197	0.689312349484263	0.0274460673121723	TRUE	10	OD600-Inhib
596	Panama68B	Acetate	Jel423	0.689312349484263	0.0274460673121723	TRUE	10	OD600-Inhib
597	Panama68B	Arabinose	Jel197	0.689312349484263	0.0274460673121723	TRUE	10	OD600-Inhib
598	Panama68B	Arabinose	Jel423	0.718297236696201	0.0192869777666569	TRUE	10	OD600-Inhib
599	Panama68B	Citrate	Jel197	0.590839156700797	0.072077391733668	FALSE	10	OD600-Inhib
600	Panama68B	Citrate	Jel423	0.590839156700797	0.072077391733668	FALSE	10	OD600-Inhib
601	Panama68B	Dextrose	Jel197	0.656703866367538	0.0391375933420757	TRUE	10	OD600-Inhib
602	Panama68B	Dextrose	Jel423	-0.101031364056544	0.781235992491762	FALSE	10	OD600-Inhib
603	Panama68B	Fructose	Jel197	0.393892771133865	0.260059263934288	FALSE	10	OD600-Inhib
604	Panama68B	Fructose	Jel423	0.37383358970942	0.287258480878924	FALSE	10	OD600-Inhib
605	Panama68B	Galactose	Jel197	0.0984731927834662	0.786666590981501	FALSE	10	OD600-Inhib
606	Panama68B	Galactose	Jel423	0.172328087371066	0.634029046428523	FALSE	10	OD600-Inhib
607	Panama68B	Heart infusion	Jel197	0.295419578350399	0.407276101901824	FALSE	10	OD600-Inhib
608	Panama68B	Heart infusion	Jel423	0.172328087371066	0.634029046428523	FALSE	10	OD600-Inhib
609	Panama68B	LB	Jel197	0.70721954839581	0.0221730841066504	TRUE	10	OD600-Inhib
610	Panama68B	LB	Jel423	0.959797958537171	1.08858736098347e-05	TRUE	10	OD600-Inhib
611	Panama68B	Lactose	Jel197	0.344656174742132	0.329420463499337	FALSE	10	OD600-Inhib
612	Panama68B	Lactose	Jel423	0.516984262113198	0.125969581177834	FALSE	10	OD600-Inhib
613	Panama68B	Malt extract	Jel197	0.492365963917331	0.148266104168823	FALSE	10	OD600-Inhib
614	Panama68B	Malt extract	Jel423	0.246182981958665	0.492942915754129	FALSE	10	OD600-Inhib
615	Panama68B	Mannitol	Jel197	0.594566885520782	0.0698513512262272	FALSE	10	OD600-Inhib
616	Panama68B	Mannitol	Jel423	-0.0371604303450489	0.918823716658756	FALSE	10	OD600-Inhib
617	Panama68B	Mannose	Jel197	0.691410717654713	0.0267879009352171	TRUE	10	OD600-Inhib
618	Panama68B	Mannose	Jel423	-0.689312349484263	0.0274460673121723	TRUE	10	OD600-Inhib
619	Panama68B	N-acetyl glucosamine	Jel197	0.404125456226177	0.246754729542235	FALSE	10	OD600-Inhib
